time;value
0.000;7.386
0.505;10.983
1.010;11.005
1.515;7.716
2.020;11.411
2.525;8.746
3.030;9.065
3.535;8.483
4.040;14.765
4.545;12.968
5.051;11.536
5.556;10.399
6.061;16.399
6.566;12.399
7.071;14.652
7.576;11.632
8.081;15.744
8.586;12.730
9.091;20.003
9.596;14.312
10.101;20.819
10.606;17.204
11.111;13.881
11.616;19.618
12.121;21.702
12.626;17.976
13.131;20.666
13.636;22.199
14.141;28.939
14.646;16.007
15.152;27.395
15.657;30.638
16.162;20.535
16.667;33.212
17.172;22.452
17.677;30.344
18.182;23.466
18.687;21.946
19.192;31.287
19.697;34.711
20.202;25.706
20.707;20.847
21.212;20.650
21.717;42.742
22.222;28.006
22.727;26.261
23.232;36.989
23.737;45.370
24.242;25.737
24.747;31.938
25.253;24.496
25.758;28.520
26.263;39.079
26.768;27.756
27.273;32.079
27.778;18.370
28.283;27.867
28.788;32.143
29.293;40.287
29.798;31.737
30.303;28.889
30.808;40.965
31.313;44.825
31.818;27.824
32.323;34.526
32.828;51.653
33.333;35.909
33.838;25.226
34.343;48.193
34.848;38.350
35.354;42.355
35.859;53.433
36.364;35.522
36.869;36.535
37.374;43.469
37.879;39.572
38.384;47.803
38.889;44.829
39.394;50.837
39.899;48.202
40.404;47.066
40.909;49.117
41.414;51.981
41.919;38.752
42.424;43.798
42.929;73.710
43.434;66.943
43.939;39.087
44.444;44.371
44.949;43.228
45.455;44.679
45.960;62.545
46.465;32.937
46.970;51.685
47.475;44.629
47.980;54.181
48.485;81.981
48.990;72.279
49.495;52.241
50.000;53.352
