time;value
0.000;2.307
0.505;4.424
1.010;4.123
1.515;5.598
2.020;3.457
2.525;7.926
3.030;10.831
3.535;13.526
4.040;23.207
4.545;8.296
5.051;9.326
5.556;86.514
6.061;16.545
6.566;25.634
7.071;13.583
7.576;33.401
8.081;43.343
8.586;83.410
9.091;9.602
9.596;141.081
10.101;331.576
10.606;113.159
11.111;166.476
11.616;779.277
12.121;737.754
12.626;150.332
13.131;554.072
13.636;23876.729
14.141;29.270
14.646;111.095
15.152;1175.340
15.657;2405.385
16.162;14298.036
16.667;2489.599
17.172;262.340
17.677;7813.810
18.182;5699.043
18.687;1906.961
19.192;11454.595
19.697;40916.490
20.202;882.379
20.707;9290.779
21.212;225.292
21.717;11475.971
22.222;66892.225
22.727;167882.819
23.232;1159580.847
23.737;196833.184
24.242;8633.480
24.747;15369.168
25.253;697.503
25.758;54351.085
26.263;119300.601
26.768;50958.057
27.273;62033.749
27.778;13092.349
28.283;124345.433
28.788;17253.894
29.293;1342544.992
29.798;1983262.293
30.303;42049725.244
30.808;612382.240
31.313;19587.343
31.818;651083.036
32.323;1205564.222
32.828;1801224.768
33.333;330434.479
33.838;16249106.082
34.343;80389.325
34.848;59669785.872
35.354;1808127.075
35.859;109533909.557
36.364;124906.882
36.869;4624330.891
37.374;94811.297
37.879;2126904040.202
38.384;27767015.985
38.889;20213986.446
39.394;68505.223
39.899;18557446.424
40.404;15668310.196
40.909;2084220.363
41.414;45618301.006
41.919;261217.648
42.424;125454422.010
42.929;1426.955
43.434;219960140.173
43.939;329136013.371
44.444;366946749.604
44.949;194001470.614
45.455;20259969906.140
45.960;95287.948
46.465;18869094085.031
46.970;8877.177
47.475;1341271448.900
47.980;200532250.069
48.485;93609546.463
48.990;5198838591.019
49.495;148924129.993
50.000;53034874147.658
